1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;
20000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;2012;1,746;1,277;469;84;51;33;66;52;14;142;116;26;1,284;980;304;170;78;92;1,454;1,058;396;
20000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;2013;1,736;1,250;486;84;43;41;58;40;18;112;91;21;1,295;988;307;187;88;99;1,482;1,076;406;
20000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;2014;1,762;1,260;502;85;52;33;57;40;17;109;84;25;1,311;990;321;200;94;106;1,511;1,084;427;
20000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;2015;1,680;1,227;453;74;48;26;52;43;9;99;84;15;1,270;964;306;185;88;97;1,455;1,052;403;
20000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;2016;2,066;1,448;618;93;51;42;78;48;30;150;128;22;1,526;1,124;402;219;97;122;1,745;1,221;524;
20000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;2017;1,858;1,373;485;77;45;32;77;72;5;149;128;21;1,328;1,025;303;227;103;124;1,555;1,128;427;
20000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;2018;1,827;1,343;484;79;50;29;66;48;18;149;118;31;1,322;1,031;291;211;96;115;1,533;1,127;406;
20000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;2019;1,810;1,355;455;70;43;27;62;52;10;137;115;22;1,311;1,028;283;230;117;113;1,541;1,145;396;
20000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;2020;1,994;1,419;575;104;60;44;48;43;5;154;125;29;1,388;1,052;336;300;139;161;1,688;1,191;497;
20000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;2021;1,711;1,232;479;102;48;54;63;53;10;113;106;7;1,174;901;273;259;124;135;1,433;1,025;408;335546
20000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;2022;1,834;1,350;484;64;37;27;65;53;12;143;122;21;1,309;1,030;279;253;108;145;1,562;1,138;424;335546
30000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;2000;957;613;344;133;86;47;24;12;12;34;28;6;457;345;112;309;142;167;766;487;279;
30000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;2001;1,028;607;421;137;87;50;22;12;10;29;17;12;472;328;144;368;163;205;840;491;349;
30000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;2002;857;502;355;108;68;40;19;14;5;23;15;8;384;248;136;323;157;166;707;405;302;
30000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;2003;880;532;348;108;62;46;24;19;5;17;14;3;405;296;109;326;141;185;731;437;294;
30000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;2004;978;583;395;116;70;46;13;10;3;19;16;3;409;314;95;421;173;248;830;487;343;
