1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
132020;Erregung öffentlichen Ärgernisses § 183a StGB;1,358;76;49;102;86;156;187;182;190;100;110;80;40;0;01.01.2008;31.12.9999
133000;Sexueller Missbrauch von Jugendlichen § 182 StGB;785;66;49;72;57;70;73;97;67;73;60;59;41;1;01.01.2018;31.12.9999
133100;Sexueller Missbrauch von Jugendlichen gegen Entgelt § 182 Abs. 2 StGB;207;21;11;18;19;19;16;28;15;14;14;19;13;0;01.01.2018;31.12.9999
133700;Sonstiger Sexueller Missbrauch von Jugendlichen § 182 StGB;578;45;38;54;38;51;57;69;52;59;46;40;28;1;01.01.2018;31.12.9999
140000;Ausnutzen sexueller Neigung §§ 180, 180a, 181a, 184, 184a, 184b, 184c, 184e, 184f, 184g, 184k, 184l StGB;25,687;3,125;2,667;2,981;2,588;2,702;2,59;2,041;1,718;1,542;1,431;1,27;1,026;6;01.01.2022;31.12.9999
140010;Ausübung der verbotenen Prostitution § 184f StGB;532;56;62;63;39;48;32;37;26;51;44;34;40;0;01.01.2016;31.12.9999
140020;Jugendgefährdende Prostitution § 184g StGB;7;0;0;1;0;0;1;2;0;0;1;0;2;0;01.01.2016;31.12.9999
141000;Förderung sexueller Handlungen Minderjähriger oder Ausbeuten von Prostituierten §§ 180, 180a StGB;77;13;7;6;6;13;1;13;4;6;1;6;1;0;01.01.2014;31.12.9999
141100;Förderung sexueller Handlungen Minderjähriger § 180 StGB;74;13;6;6;6;12;1;13;3;6;1;6;1;0;01.01.2018;31.12.9999
141110;Förderung sexueller Handlungen Minderjähriger durch Vermittlung oder gegen Entgelt § 180 Abs. 1, Nr. 1, Abs. 2 StGB;43;9;3;4;2;4;1;10;2;4;0;4;0;0;01.01.2018;31.12.9999
141179;Sonstige Förderung sexueller Handlungen Minderjähriger § 180 StGB;31;4;3;2;4;8;0;3;1;2;1;2;1;0;01.01.2018;31.12.9999
141200;Ausbeuten von Prostituierten § 180a StGB;3;0;1;0;0;1;0;0;1;0;0;0;0;0;01.01.2002;31.12.9999
142000;Zuhälterei § 181a StGB;98;11;10;12;7;9;7;9;6;10;9;2;6;0;01.01.2006;31.12.9999
143000;Verbreitung pornografischer Inhalte (Erzeugnisse) §§ 184, 184a, 184b, 184c, 184e StGB;24,096;2,995;2,531;2,839;2,473;2,555;2,443;1,875;1,581;1,398;1,3;1,179;921;6;01.01.2022;31.12.9999
143010;Sonstige Verbreitung pornografischer Inhalte (Erzeugnisse) § 184 StGB;2,168;255;227;182;188;204;167;176;168;166;169;164;102;0;01.01.2022;31.12.9999
143020;Verbreitung gewalt- oder tierpornografischer Inhalte § 184a StGB;109;4;12;18;9;3;11;16;9;3;5;9;9;1;01.01.2022;31.12.9999
143040;Veranstaltung und Besuch kinder- und jugendpornografischer Darbietungen § 184e StGB;1;0;0;1;0;0;0;0;0;0;0;0;0;0;01.01.2016;31.12.9999
143100;Verbreitung pornografischer Inhalte (Erzeugnisse) an Personen unter 18 Jahren § 184 Abs. 1 Nr. 1, 2, 5 StGB;1,227;131;113;129;91;125;116;70;80;93;95;76;108;0;01.01.2022;31.12.9999
143200;Verbreitung, Erwerb, Besitz und Herstellung kinderpornografischer Inhalte § 184b StGB;17,306;2,152;1,859;2,115;1,869;1,917;1,843;1,364;1,105;935;851;749;544;3;01.01.2022;31.12.9999
143210;Verbreitung, Erwerb, Besitz und Herstellung von Kinderpornografie § 184b Abs. 1 StGB;12,018;1,554;1,325;1,539;1,352;1,336;1,228;942;741;589;536;492;384;0;01.01.2016;31.12.9999
143211;Verbreitung von Kinderpornografie § 184b Abs. 1 Nr. 1 StGB;10,23;1,323;1,131;1,314;1,189;1,126;1,065;799;616;512;446;408;301;0;01.01.2016;31.12.9999
143212;Besitzverschaffung für andere von Kinderpornografie § 184b Abs. 1 Nr. 2 StGB;669;83;76;81;61;64;45;43;45;33;43;44;51;0;01.01.2016;31.12.2022
143212;Besitzverschaffung für andere von Kinderpornografie § 184b Abs. 1 Nr. 2 StGB;566;110;77;87;50;70;51;37;30;13;16;18;7;0;01.01.2023;31.12.9999
143213;Herstellung auch ohne Verbreitungsabsicht von Kinderpornografie mit tatsächlichem Geschehen § 184b Abs. 1 Nr. 3 StGB;231;18;21;23;16;27;28;27;25;14;9;12;11;0;01.01.2016;31.12.9999
143214;Herstellung mit Verbreitungsabsicht von Kinderpornografie § 184b Abs. 1 Nr. 4 StGB;219;16;16;28;29;36;23;29;17;11;12;1;1;0;01.01.2016;31.12.2022
143214;Herstellung mit Verbreitungsabsicht von Kinderpornografie § 184b Abs. 1 Nr. 4 StGB;103;4;4;6;7;13;16;7;8;6;10;9;13;0;01.01.2023;31.12.9999
143220;Verbreitung und Herstellung von Kinderpornografie gewerbs-/bandenmäßig § 184b Abs. 2 StGB;26;0;3;5;4;3;2;3;2;1;1;1;1;0;01.01.2016;31.12.9999
143230;Besitz oder sich Verschaffen von Kinderpornografie § 184b Abs. 3 StGB;2,788;435;381;377;302;339;307;197;135;136;110;54;13;2;01.01.2016;31.12.2022
143230;Besitz oder sich Verschaffen von Kinderpornografie § 184b Abs. 3 StGB;2,474;163;150;194;211;239;306;222;227;209;204;202;146;1;01.01.2023;31.12.9999
143500;Verbreitung, Erwerb, Besitz und Herstellung jugendpornografischer Inhalte § 184c StGB;3,285;453;320;394;316;306;306;249;219;201;180;181;158;2;01.01.2022;31.12.9999
143510;Verbreitung, Erwerb, Besitz und Herstellung von Jugendpornografie § 184c Abs. 1 StGB;2,153;291;212;253;214;211;206;154;142;126;126;110;107;1;01.01.2016;31.12.9999
143511;Verbreitung von Jugendpornografie § 184c Abs. 1 Nr. 1 StGB;1,689;237;159;213;170;166;158;122;112;90;97;83;81;1;01.01.2016;31.12.9999
143512;Besitzverschaffung für andere von Jugendpornografie § 184c Abs. 1 Nr. 2 StGB;209;24;32;13;24;24;20;10;9;18;8;11;16;0;01.01.2016;31.12.9999
143513;Herstellung auch ohne Verbreitungsabsicht mit tatsächlichem Geschehen von Jugendpornografie § 184c Abs. 1 Nr. 3 StGB;109;13;10;5;7;9;12;10;8;10;13;9;3;0;01.01.2016;31.12.9999
143514;Herstellung mit Verbreitungsabsicht von Jugendpornografie § 184c Abs. 1 Nr. 4 StGB;146;17;11;22;13;12;16;12;13;8;8;7;7;0;01.01.2016;31.12.9999
143520;Verbreitung und Herstellung von Jugendpornografie gewerbs-/bandenmäßig § 184c Abs. 2 StGB;15;2;2;2;2;1;0;0;3;1;1;1;0;0;01.01.2016;31.12.9999
143530;Besitz oder sich Verschaffen von Jugendpornografie § 184c Abs. 3 StGB;1,117;160;106;139;100;94;100;95;74;74;53;70;51;1;01.01.2016;31.12.9999
145000;Verletzung des Intimbereichs durch Bildaufnahmen § 184k StGB;848;48;53;58;58;75;105;103;100;76;73;44;55;0;01.01.2021;31.12.9999
146000;Inverkehrbringen, Erwerb und Besitz von Sexpuppen mit kindlichem Erscheinungsbild § 184l StGB;29;2;4;2;5;2;1;2;1;1;3;5;1;0;01.01.2022;31.12.9999
200000;Rohheitsdelikte und Straftaten gegen die persönliche Freiheit;862,223;61,513;58,525;70,357;69,259;83,649;82,432;82,856;81,111;72,305;76,473;65,413;58,286;44;01.01.1971;31.12.9999
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;38,589;2,733;2,663;3,175;3,034;3,493;3,463;3,461;3,416;3,383;3,801;3,319;2,646;2;01.01.2014;31.12.9999
210010;Sonstiger Raub § 249 StGB;3,672;205;215;286;301;303;360;365;333;378;381;297;248;0;01.01.2013;31.12.9999
210020;Sonstiger schwerer Raub § 250 StGB;1,12;72;72;85;71;99;86;126;93;94;115;115;91;1;01.01.2008;31.12.9999
210030;Sonstiger Raub mit Todesfolge § 251 StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01.01.2008;31.12.9999
210040;Räuberischer Diebstahl § 252 StGB;9,271;603;699;764;736;767;834;794;848;830;864;850;682;0;01.01.2008;31.12.9999
210050;Sonstige räuberische Erpressung § 255 StGB;2,767;190;215;247;226;286;223;208;193;261;289;240;188;1;01.01.2008;31.12.9999
211000;Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen;58;6;6;8;5;3;5;3;7;2;4;4;5;0;01.01.2014;31.12.9999
211100;Raub, räuberische Erpressung auf/gegen Geldinstitute (Banken/Sparkassen);35;3;4;3;3;2;4;2;4;2;3;1;4;0;01.01.2001;31.12.9999
211110;Raub auf Geldinstitute (Banken/Sparkassen) § 249 StGB;4;0;1;0;0;0;1;0;1;0;0;1;0;0;01.01.2013;31.12.9999
211120;Schwerer Raub auf Geldinstitute (Banken/Sparkassen) § 250 StGB;11;1;1;1;1;1;0;0;2;0;3;0;1;0;01.01.2008;31.12.9999
211130;Raub mit Todesfolge auf Geldinstitute (Banken/Sparkassen) § 251 StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01.01.2008;31.12.9999
211150;Räuberische Erpressung gegen Geldinstitute (Banken/Sparkassen) § 255 StGB;20;2;2;2;2;1;3;2;1;2;0;0;3;0;01.01.2008;31.12.9999
211200;Raub, räuberische Erpressung auf/gegen Postfilialen und -agenturen;23;3;2;5;2;1;1;1;3;0;1;3;1;0;01.01.2011;31.12.9999
211210;Raub auf Postfilialen und -agenturen § 249 StGB;3;0;0;1;1;0;0;0;0;0;0;1;0;0;01.01.2013;31.12.9999
211220;Schwerer Raub auf Postfilialen und -agenturen § 250 StGB;9;2;1;2;0;0;1;1;0;0;1;0;1;0;01.01.2011;31.12.9999
211230;Raub mit Todesfolge auf Postfilialen und -agenturen § 251 StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01.01.2011;31.12.9999
211250;Räuberische Erpressung gegen Postfilialen und -agenturen § 255 StGB;11;1;1;2;1;1;0;0;3;0;0;2;0;0;01.01.2011;31.12.9999
212000;Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte;1,93;230;172;194;173;125;114;128;140;128;167;194;165;0;01.01.2020;31.12.9999
212010;Raub auf sonstige Kassenräume oder Geschäfte § 249 StGB;148;18;11;15;2;9;12;10;10;19;10;13;19;0;01.01.2020;31.12.9999
212020;Schwerer Raub auf sonstige Kassenräume oder Geschäfte § 250 StGB;601;61;63;63;62;43;34;29;41;41;45;68;51;0;01.01.2020;31.12.9999
212030;Raub mit Todesfolge auf sonstige Kassenräume oder Geschäfte § 251 StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01.01.2020;31.12.9999
212050;Räuberische Erpressung gegen sonstige Kassenräume oder Geschäfte § 255 StGB;380;53;37;45;39;23;25;33;24;20;31;29;21;0;01.01.2020;31.12.9999
212100;Raub, räuberische Erpressung auf/gegen Spielhallen;205;18;20;17;29;19;5;20;16;15;17;18;11;0;01.01.1990;31.12.9999
212110;Raub auf Spielhallen § 249 StGB;11;0;1;1;2;1;0;0;0;1;3;1;1;0;01.01.2013;31.12.9999
212120;Schwerer Raub auf Spielhallen § 250 StGB;122;12;12;13;12;14;2;13;8;9;9;11;7;0;01.01.2008;31.12.9999
212130;Raub mit Todesfolge auf Spielhallen § 251 StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01.01.2008;31.12.9999
212150;Räuberische Erpressung gegen Spielhallen § 255 StGB;72;6;7;3;15;4;3;7;8;5;5;6;3;0;01.01.2008;31.12.9999
212200;Raub, räuberische Erpressung auf/gegen Tankstellen;596;80;41;54;41;31;38;36;49;33;64;66;63;0;01.01.1990;31.12.9999
212210;Raub auf Tankstellen § 249 StGB;51;11;1;4;3;1;3;2;5;2;3;11;5;0;01.01.2013;31.12.9999
212220;Schwerer Raub auf Tankstellen § 250 StGB;363;40;24;34;25;20;25;26;28;21;42;36;42;0;01.01.2008;31.12.9999
212230;Raub mit Todesfolge auf Tankstellen § 251 StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01.01.2008;31.12.9999
212250;Räuberische Erpressung gegen Tankstellen § 255 StGB;182;29;16;16;13;10;10;8;16;10;19;19;16;0;01.01.2008;31.12.9999
213000;Raub, räuberische Erpressung auf/gegen Geld- und Werttransporte;16;2;0;2;2;4;0;3;1;1;0;1;0;0;01.01.2014;31.12.9999
213100;Raub, räuberische Erpressung auf/gegen Geld- und Kassenboten;16;2;0;2;2;4;0;3;1;1;0;1;0;0;01.01.1981;31.12.9999
213110;Raub auf Geld- und Kassenboten § 249 StGB;4;0;0;0;0;2;0;2;0;0;0;0;0;0;01.01.2013;31.12.9999
213120;Schwerer Raub auf Geld- und Kassenboten § 250 StGB;10;2;0;1;2;1;0;1;1;1;0;1;0;0;01.01.2008;31.12.9999
213130;Raub mit Todesfolge auf Geld- und Kassenboten § 251 StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01.01.2008;31.12.9999
213150;Räuberische Erpressung gegen Geld- und Kassenboten § 255 StGB;2;0;0;1;0;1;0;0;0;0;0;0;0;0;01.01.2008;31.12.9999
213200;Raub, räuberische Erpressung auf/gegen Spezialgeldtransportfahrzeuge;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01.01.1981;31.12.9999
213210;Raub auf Spezialgeldtransportfahrzeuge § 249 StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01.01.2013;31.12.9999
213220;Schwerer Raub auf Spezialgeldtransportfahrzeuge § 250 StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01.01.2008;31.12.9999
213230;Raub mit Todesfolge auf Spezialgeldtransportfahrzeuge § 251 StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01.01.2008;31.12.9999
213250;Räuberische Erpressung gegen Spezialgeldtransportfahrzeuge § 255 StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01.01.2008;31.12.9999
214000;Räuberischer Angriff auf Kraftfahrer § 316a StGB;120;12;10;11;9;10;6;13;13;9;9;10;8;0;01.01.2014;31.12.9999
214079;Räuberischer Angriff auf sonstige Kraftfahrer;77;5;4;6;7;6;3;10;11;6;6;7;6;0;01.01.2008;31.12.9999
214100;Beraubung von Taxifahrern;43;7;6;5;2;4;3;3;2;3;3;3;2;0;01.01.1971;31.12.9999
216000;Handtaschenraub;1,083;88;74;80;73;110;98;97;106;86;82;112;77;0;01.01.1971;31.12.9999
216010;Handtaschenraub § 249 StGB;948;72;68;71;62;94;86;83;88;80;76;98;70;0;01.01.2013;31.12.9999
216020;Handtaschenraub § 250 StGB;106;11;6;9;9;12;10;10;15;5;5;10;4;0;01.01.2008;31.12.9999
