1;2;3;7;8;9;10;11
Schluessel;Straftat;Anzahl erfasste Faelle;Tatortverteilung bis unter 20000 Einwohner - Anteil in %;Tatortverteilung 20000 bis unter 100000 Einwohner - Anteil in %;Tatortverteilung 100000 bis unter 500000 Einwohner - Anteil in %;Tatortverteilung 500000 und mehr Einwohner - Anteil in %;Tatortverteilung unbekannt - Anteil in %
;;Einwohner am 31.12.2019;;;;;
;;in %;;;;;
132010;Exhibitionistische Handlungen § 183 StGB;7,092;20.4;28.1;21.3;30.1;0.1
132020;Erregung öffentlichen Ärgernisses § 183a StGB;1,377;17.7;23;21.7;37;0.5
133000;Sexueller Missbrauch von Jugendlichen § 182 StGB;1,135;32.3;28.3;18.8;16.5;4.1
133100;Sexueller Missbrauch von Jugendlichen gegen Entgelt § 182 Abs. 2 StGB;324;31.5;19.1;19.4;25.3;4.6
133700;Sonstiger Sexueller Missbrauch von Jugendlichen § 182 StGB;811;32.7;31.9;18.5;12.9;3.9
140000;Ausnutzen sexueller Neigung §§ 180, 180a, 181a, 184, 184a, 184b, 184c, 184e, 184f, 184g, 184k, 184l StGB;55,996;34.4;28.3;14.9;14.9;7.6
140010;Ausübung der verbotenen Prostitution § 184f StGB;607;25.4;23.7;11.7;38.4;0.8
140020;Jugendgefährdende Prostitution § 184g StGB;9;33.3;33.3;11.1;11.1;11.1
141000;Förderung sexueller Handlungen Minderjähriger oder Ausbeuten von Prostituierten §§ 180, 180a StGB;140;24.3;22.9;20.7;27.9;4.3
141100;Förderung sexueller Handlungen Minderjähriger § 180 StGB;119;26.1;22.7;21;25.2;5
141110;Förderung sexueller Handlungen Minderjähriger durch Vermittlung oder gegen Entgelt § 180 Abs. 1, Nr. 1, Abs. 2 StGB;77;18.2;24.7;22.1;29.9;5.2
141179;Sonstige Förderung sexueller Handlungen Minderjähriger § 180 StGB;42;40.5;19;19;16.7;4.8
141200;Ausbeuten von Prostituierten § 180a StGB;21;14.3;23.8;19;42.9;0
142000;Zuhälterei § 181a StGB;143;13.3;21.7;25.2;37.1;2.8
143000;Verbreitung pornografischer Inhalte (Erzeugnisse) §§ 184, 184a, 184b, 184c, 184e StGB;54,188;34.8;28.3;14.8;14.5;7.7
