1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
213210;Raub auf Spezialgeldtransportfahrzeuge § 249 StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
213220;Schwerer Raub auf Spezialgeldtransportfahrzeuge § 250 StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
213230;Raub mit Todesfolge auf Spezialgeldtransportfahrzeuge § 251 StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
213250;Räuberische Erpressung gegen Spezialgeldtransportfahrzeuge § 255 StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
214000;Räuberischer Angriff auf Kraftfahrer § 316a StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
214079;Räuberischer Angriff auf sonstige Kraftfahrer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
214100;Beraubung von Taxifahrern;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
216000;Handtaschenraub;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
216010;Handtaschenraub § 249 StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
216020;Handtaschenraub § 250 StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
216030;Handtaschenraub mit Todesfolge § 251 StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
216050;Räuberische Erpressung bei Handtaschenraub § 255 StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;8;0;1;12.5;1;1;3;3;0;1;0;5;62.5;20;16;4;10;50
217010;Sonstiger Raub auf Straßen, Wegen oder Plätzen § 249 StGB;4;0;1;25;0;1;1;2;0;0;0;1;25;2;1;1;1;50
217020;Sonstiger schwerer Raub auf Straßen, Wegen oder Plätzen § 250 StGB;2;0;0;0;0;0;1;1;0;1;0;2;100;11;11;0;9;81.8
217030;Sonstiger Raub mit Todesfolge auf Straßen, Wegen oder Plätzen § 251 StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
217050;Sonstige räuberische Erpressung auf Straßen, Wegen oder Plätzen § 255 StGB;2;0;0;0;1;0;1;0;0;0;0;2;100;7;4;3;0;0
218000;Raub zur Erlangung von Betäubungsmitteln;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
218010;Raub zur Erlangung von Betäubungsmitteln § 249 StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
218020;Schwerer Raub zur Erlangung von Betäubungsmitteln § 250 StGB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
